"Are you self-employed?";"How many employees does your company or organization have?";"Is your employer primarily a tech company/organization?";"Is your primary role within your company related to tech/IT?";"Does your employer provide mental health benefits as part of healthcare coverage?";"Do you know the options for mental health care available under your employer-provided coverage?";"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?";"Does your employer offer resources to learn more about mental health concerns and options for seeking help?";"Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?";"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:";"Do you think that discussing a mental health disorder with your employer would have negative consequences?";"Do you think that discussing a physical health issue with your employer would have negative consequences?";"Would you feel comfortable discussing a mental health disorder with your coworkers?";"Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?";"Do you feel that your employer takes mental health as seriously as physical health?";"Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?";"Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?";"Do you know local or online resources to seek help for a mental health disorder?";"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?";"Do you believe your productivity is ever affected by a mental health issue?";"Do you have previous employers?";"Have your previous employers provided mental health benefits?";"Were you aware of the options for mental health care provided by your previous employers?";"Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?";"Did your previous employers provide resources to learn more about mental health issues and how to seek help?";"Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?";"Do you think that discussing a mental health disorder with previous employers would have negative consequences?";"Do you think that discussing a physical health issue with previous employers would have negative consequences?";"Would you have been willing to discuss a mental health issue with your previous co-workers?";"Would you have been willing to discuss a mental health issue with your direct supervisor(s)?";"Did you feel that your previous employers took mental health as seriously as physical health?";"Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?";"Would you be willing to bring up a physical health issue with a potential employer in an interview?";"Would you bring up a mental health issue with a potential employer in an interview?";"Do you feel that being identified as a person with a mental health issue would hurt your career?";"Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?";"Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?";"Do you have a family history of mental illness?";"Have you had a mental health disorder in the past?";"Do you currently have a mental health disorder?";"What is your age?";"What is your gender?";"What country do you live in?";"What country do you work in?";"Do you work remotely?"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"I know some";"No, because it doesn't matter";"Yes";1;"Some did";"I was aware of some";"None did";"None did";"Sometimes";"Some of them";"None of them";"No, at none of my previous employers";"No, at none of my previous employers";"Some did";"None of them";"Maybe";"No";"Maybe";"Maybe";"No";"Yes";"Yes";"Yes";36;"Male";"United States of America";"United States of America";"Sometimes"
0;"More than 1000";0;1;"Not eligible for coverage / N/A";"I am not sure";"No";"No";"I don't know";"Somewhat difficult";"No";"No";"Yes";"Yes";"I don't know";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"Some did";"Some did";"I don't know";"None of them";"None of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"No";"No";"Maybe";"No, I don't think they would";"No";"Yes";"Yes";"Yes";28;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"I don't know";"No";"No";"Yes";"Yes";"I don't know";"Yes";"Maybe";"No";"No";"I don't know";"No";NA;"";"";"";1;"Yes, they all did";"No, I only became aware later";"None did";"Some did";"I don't know";"I don't know";"Yes, all of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"Some of them";"Maybe";"No";"Yes, I think it would";"Yes, I think they would";"Maybe/Not sure";"No";"No";"No";40;"Male";"United States of America";"United States of America";"Always"
0;"26-100";1;NA;"Yes";"Yes";"Yes";"Yes";"Yes";"Very easy";"No";"No";"Yes";"Yes";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"None did";"None did";"I don't know";"I don't know";"None of them";"Some of my previous employers";"No, at none of my previous employers";"Some did";"None of them";"Maybe";"No";"Maybe";"Maybe";"Maybe/Not sure";"I don't know";"Yes";"Yes";35;"Female";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"Yes";"No";"No";"I don't know";"Somewhat difficult";"Yes";"No";"No";"No";"No";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"Some did";"Some did";"I don't know";"Yes, all of them";"None of them";"No, at none of my previous employers";"Some of my previous employers";"None did";"None of them";"Maybe";"No";"Yes, I think it would";"Yes, I think they would";"Maybe/Not sure";"Yes";"Yes";"Yes";38;"Male";"United States of America";"United States of America";"Never"
0;"100-500";1;NA;"Yes";"I am not sure";"No";"No";"I don't know";"I don't know";"Yes";"Maybe";"No";"Maybe";"I don't know";"No";NA;"";"";"";1;"Some did";"I was aware of some";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Yes, all of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Yes, I observed";"Yes";"Yes";"Maybe";29;"Male";"United States of America";"United States of America";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"No, I don't know any";"Not applicable to me";"No";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"I don't know";"None of them";"Some of my previous employers";"I don't know";"I don't know";"None of them";"Maybe";"Maybe";"Yes, I think it would";"Maybe";"Maybe/Not sure";"No";"No";"No";43;"Male";"Netherlands";"Netherlands";"Sometimes"
0;"500-1000";1;NA;"Yes";"No";"No";"I don't know";"I don't know";"Somewhat easy";"Maybe";"Maybe";"Yes";"Yes";"I don't know";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"No";"No";"Yes, I think it would";"Maybe";"Yes, I observed";"Yes";"Yes";"Yes";31;"Female";"United States of America";"United States of America";"Always"
0;"100-500";1;NA;"No";"No";"No";"No";"I don't know";"Somewhat difficult";"Yes";"No";"Maybe";"Maybe";"No";"No";NA;"";"";"";1;"Some did";"Yes, I was aware of all of them";"Some did";"Some did";"Sometimes";"I don't know";"None of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Maybe/Not sure";"No";"No";"No";45;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"I don't know";"I am not sure";"No";"I don't know";"I don't know";"Somewhat easy";"No";"No";"Maybe";"Maybe";"No";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"None of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"None of them";"No";"No";"No, it has not";"No, they do not";"No";"Yes";"Maybe";"Maybe";26;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"Yes";"Yes";"Yes";"Yes";"Very easy";"No";"No";"Yes";"Yes";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"Yes, I was aware of all of them";"Some did";"Yes, they all did";"Yes, always";"I don't know";"None of them";"Yes, at all of my previous employers";"Yes, at all of my previous employers";"Some did";"None of them";"Yes";"Yes";"Maybe";"No, I don't think they would";"No";"No";"No";"No";42;"Male";"United States of America";"United States of America";"Always"
0;"100-500";1;NA;"Yes";"I am not sure";"Yes";"Yes";"Yes";"Somewhat easy";"No";"No";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"No, I only became aware later";"None did";"None did";"I don't know";"Yes, all of them";"Some of them";"No, at none of my previous employers";"Some of my previous employers";"None did";"Some of them";"No";"No";"Maybe";"No, I don't think they would";"Maybe/Not sure";"No";"Yes";"No";28;"Female";"United States of America";"United States of America";"Always"
0;"6-25";1;NA;"Not eligible for coverage / N/A";"N/A";"No";"No";"I don't know";"I don't know";"Maybe";"No";"Yes";"Maybe";"I don't know";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"I don't know";"Some did";"None of them";"Maybe";"Maybe";"Maybe";"Maybe";"No";"Yes";"No";"No";28;"Male";"United Kingdom";"United Kingdom";"Sometimes"
0;"100-500";1;NA;"Yes";"No";"Yes";"Yes";"I don't know";"I don't know";"Maybe";"Yes";"Yes";"Maybe";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"None did";"Some did";"Sometimes";"Yes, all of them";"Yes, all of them";"No, at none of my previous employers";"No, at none of my previous employers";"Some did";"Some of them";"Yes";"Yes";"Maybe";"Maybe";"Yes, I observed";"Yes";"Yes";"Yes";39;"Female";"United States of America";"United States of America";"Sometimes"
0;"6-25";1;NA;"Yes";"I am not sure";"No";"No";"Yes";"Somewhat easy";"Maybe";"Maybe";"Maybe";"Maybe";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"No";"No";"No, it has not";"Maybe";"No";"No";"Yes";"No";34;"Male";"United States of America";"United States of America";"Sometimes"
0;"26-100";1;NA;"I don't know";"No";"No";"Yes";"I don't know";"Somewhat easy";"No";"No";"Yes";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"Yes, all of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"None did";"Some of them";"Maybe";"Maybe";"Maybe";"No, I don't think they would";"Yes, I experienced";"Yes";"Yes";"Yes";28;"Female";"United States of America";"United States of America";"Always"
0;"500-1000";1;NA;"Yes";"Yes";"I don't know";"I don't know";"Yes";"Somewhat easy";"Maybe";"Maybe";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"Some did";"Yes, always";"Some of them";"None of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Yes, I observed";"No";"Maybe";"No";35;"Female";"United States of America";"United States of America";"Sometimes"
0;"6-25";1;NA;"I don't know";"I am not sure";"No";"No";"Yes";"Neither easy nor difficult";"No";"No";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"I don't know";"None did";"I don't know";"I don't know";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"Yes";"Yes";"Maybe";"No, I don't think they would";"No";"No";"No";"No";42;"Male";"Canada";"Canada";"Sometimes"
0;"6-25";1;NA;"Yes";"No";"No";"I don't know";"Yes";"Somewhat easy";"No";"No";"Yes";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"N/A (not currently aware)";"None did";"None did";"No";"Yes, all of them";"Yes, all of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Yes, all of them";"Yes";"Maybe";"Maybe";"No, I don't think they would";"Yes, I experienced";"Yes";"Yes";"Yes";99;"Other";"United States of America";"United States of America";"Sometimes"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"Yes, I know several";"No, because it doesn't matter";"Unsure";1;"I don't know";"N/A (not currently aware)";"None did";"Some did";"Yes, always";"None of them";"None of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"Maybe";"Maybe";"No, I don't think it would";"Maybe";"No";"No";"Yes";"Maybe";29;"Male";"United Kingdom";"United Kingdom";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"I know some";"Sometimes, if it comes up";"No";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"I don't know";"None of them";"Some of my previous employers";"Some of my previous employers";"None did";"None of them";"Maybe";"No";"Maybe";"Maybe";"Maybe/Not sure";"I don't know";"Yes";"Yes";34;"Male";"Finland";"Finland";"Sometimes"
0;"26-100";1;NA;"Yes";"I am not sure";"No";"I don't know";"I don't know";"I don't know";"Maybe";"No";"Maybe";"Maybe";"I don't know";"No";NA;"";"";"";1;"No, none did";"Yes, I was aware of all of them";"None did";"None did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"None of them";"Maybe";"No";"Maybe";"Maybe";"No";"Yes";"No";"No";28;"Male";"Canada";"Canada";"Always"
0;"500-1000";1;NA;"I don't know";"No";"Yes";"No";"I don't know";"Very easy";"Maybe";"No";"No";"No";"Yes";"No";NA;"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"No";"No";"Maybe";"No, they do not";"No";"No";"Maybe";"No";22;"Female";"Russia";"Russia";"Sometimes"
0;"26-100";1;NA;"Yes";"Yes";"No";"Yes";"Yes";"Neither easy nor difficult";"Yes";"Maybe";"Maybe";"Maybe";"No";"No";NA;"";"";"";1;"Yes, they all did";"Yes, I was aware of all of them";"Some did";"Some did";"Yes, always";"Yes, all of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"Maybe";"No";"Yes, it has";"Yes, they do";"Yes, I experienced";"Yes";"Yes";"Yes";28;"Female";"United States of America";"United States of America";"Sometimes"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"Yes, I know several";"Yes, always";"Yes";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"Some of my previous employers";"Some did";"None of them";"Maybe";"Yes";"Maybe";"Maybe";"Maybe/Not sure";"Yes";"Yes";"Yes";26;"Female";"United States of America";"United States of America";"Always"
0;"More than 1000";0;1;"Yes";"I am not sure";"Yes";"Yes";"Yes";"I don't know";"Maybe";"Maybe";"Maybe";"Maybe";"I don't know";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"Maybe";"No";"No, I don't think it would";"Maybe";"Yes, I experienced";"Yes";"Maybe";"Maybe";21;"Female";"Australia";"Australia";"Never"
0;"26-100";1;NA;"No";"No";"No";"No";"No";"Somewhat easy";"Yes";"Maybe";"Yes";"Maybe";"No";"Yes";NA;"";"";"";1;"Some did";"I was aware of some";"Some did";"None did";"Sometimes";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"Yes";"Yes";"Yes, it has";"Maybe";"Yes, I experienced";"Yes";"Yes";"Yes";38;"Male";"Netherlands";"Netherlands";"Never"
0;"More than 1000";0;1;"Yes";"Yes";"Yes";"Yes";"I don't know";"Somewhat easy";"No";"No";"Maybe";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"No, at none of my previous employers";"None did";"Some of them";"Maybe";"No";"Yes, I think it would";"Maybe";"Maybe/Not sure";"Yes";"Yes";"Yes";33;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"I am not sure";"Yes";"Yes";"Yes";"Very easy";"No";"No";"Maybe";"Yes";"I don't know";"No";NA;"";"";"";1;"Some did";"No, I only became aware later";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Maybe/Not sure";"Yes";"Yes";"Yes";28;"Female";"United States of America";"United States of America";"Sometimes"
0;"26-100";1;NA;"Yes";"Yes";"Yes";"Yes";"Yes";"Very easy";"No";"No";"Maybe";"Maybe";"Yes";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"No";"Yes, all of them";"Some of them";"No, at none of my previous employers";"Some of my previous employers";"None did";"Some of them";"No";"No";"Maybe";"Maybe";"Yes, I observed";"I don't know";"Yes";"Yes";32;"Male";"United States of America";"United States of America";"Sometimes"
0;"1-5";1;NA;"Not eligible for coverage / N/A";"N/A";"No";"No";"I don't know";"Somewhat difficult";"Yes";"Maybe";"No";"No";"I don't know";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"None of them";"No";"No";"Maybe";"Maybe";"Maybe/Not sure";"I don't know";"Yes";"Yes";24;"Female";"Australia";"Australia";"Sometimes"
0;"500-1000";1;NA;"I don't know";"I am not sure";"No";"I don't know";"I don't know";"Somewhat easy";"Maybe";"No";"Maybe";"No";"No";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"None did";"Some of them";"Maybe";"No";"Maybe";"Yes, I think they would";"Maybe/Not sure";"Yes";"Yes";"Maybe";35;"Male";"United States of America";"United States of America";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";0;"No, I don't know any";"Sometimes, if it comes up";"Yes";1;"Some did";"I was aware of some";"None did";"None did";"Sometimes";"Some of them";"None of them";"Some of my previous employers";"Some of my previous employers";"None did";"None of them";"Maybe";"Maybe";"Yes, I think it would";"Maybe";"Yes, I observed";"No";"No";"No";41;"Male";"United States of America";"Turkey";"Sometimes"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"I know some";"Not applicable to me";"Not applicable to me";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Yes, all of them";"Some of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"Yes, all of them";"Yes";"Maybe";"Maybe";"Yes, I think they would";"Yes, I observed";"Yes";"No";"No";38;"Female";"United States of America";"United States of America";"Always"
0;"More than 1000";1;NA;"I don't know";"I am not sure";"No";"I don't know";"I don't know";"Somewhat difficult";"Yes";"Yes";"Maybe";"No";"No";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"Some did";"I don't know";"Yes, all of them";"Yes, all of them";"No, at none of my previous employers";"No, at none of my previous employers";"I don't know";"Some of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Maybe/Not sure";"Yes";"Yes";"Yes";24;"Female";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"Yes";"No";"I don't know";"I don't know";"Very easy";"No";"No";"Yes";"Yes";"I don't know";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"None did";"Yes, they all did";"I don't know";"I don't know";"None of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"None of them";"Yes";"No";"No, it has not";"Maybe";"No";"Yes";"Yes";"Yes";30;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"Yes";"I don't know";"Yes";"Yes";"I don't know";"Yes";"Yes";"No";"No";"I don't know";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"Yes, they all did";"Yes, they all did";"Yes, always";"Yes, all of them";"Yes, all of them";"No, at none of my previous employers";"No, at none of my previous employers";"I don't know";"Some of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Yes, I experienced";"No";"No";"No";47;"Female";"United States of America";"United States of America";"Sometimes"
0;"More than 1000";1;NA;"Yes";"I am not sure";"I don't know";"Yes";"Yes";"Somewhat easy";"Maybe";"No";"No";"No";"I don't know";"No";NA;"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"Yes";"No";"Yes, I think it would";"Yes, I think they would";"No";"No";"No";"No";26;"Female";"United States of America";"United States of America";"Never"
0;"100-500";1;NA;"Yes";"Yes";"No";"I don't know";"I don't know";"Somewhat easy";"No";"No";"No";"Yes";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"I don't know";"Some did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"Some of my previous employers";"I don't know";"None of them";"No";"No";"Yes, I think it would";"Maybe";"No";"I don't know";"Yes";"Yes";32;"Male";"United States of America";"United States of America";"Always"
0;"100-500";1;NA;"I don't know";"No";"No";"Yes";"I don't know";"Neither easy nor difficult";"Maybe";"No";"No";"Maybe";"I don't know";"Yes";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"None of them";"Some of my previous employers";"No, at none of my previous employers";"None did";"None of them";"No";"No";"Yes, I think it would";"Yes, I think they would";"Yes, I observed";"Yes";"No";"Maybe";32;"Male";"United States of America";"United States of America";"Sometimes"
0;"500-1000";1;NA;"I don't know";"No";"I don't know";"Yes";"I don't know";"Somewhat easy";"No";"No";"Yes";"Yes";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"Some did";"Some did";"Yes, always";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"No";"Yes";"No, it has not";"No, they do not";"No";"I don't know";"Yes";"Yes";37;"Male";"United States of America";"United States of America";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"No, I don't know any";"Not applicable to me";"Yes";1;"Some did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"Maybe";"Maybe";"Maybe";"Maybe";"No";"No";"No";"No";33;"Male";"Netherlands";"Netherlands";"Sometimes"
0;"6-25";1;NA;"No";"N/A";"No";"No";"I don't know";"Somewhat easy";"No";"No";"No";"Maybe";"Yes";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"No, at none of my previous employers";"None did";"None of them";"No";"No";"Maybe";"Maybe";"Yes, I observed";"I don't know";"Maybe";"Maybe";28;"Female";"United Kingdom";"United Kingdom";"Sometimes"
0;"26-100";1;NA;"I don't know";"No";"Yes";"I don't know";"Yes";"Somewhat easy";"Maybe";"Maybe";"Maybe";"No";"Yes";"No";NA;"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"Yes";"No";"Maybe";"Yes, I think they would";"No";"No";"No";"No";22;"Male";"Netherlands";"Netherlands";"Never"
0;"500-1000";1;NA;"I don't know";"I am not sure";"Yes";"Yes";"I don't know";"Somewhat easy";"No";"Maybe";"Maybe";"Maybe";"Yes";"No";NA;"";"";"";1;"Some did";"I was aware of some";"Some did";"Some did";"Sometimes";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"Maybe";"No";"Maybe";"No, I don't think they would";"No";"Yes";"Yes";"Yes";30;"Male";"United States of America";"United States of America";"Sometimes"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";1;"I know some";"No, because it doesn't matter";"Yes";1;"Some did";"I was aware of some";"None did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"None did";"Some of them";"No";"No";"No, it has not";"Maybe";"Yes, I observed";"Yes";"Maybe";"No";42;"Female";"United States of America";"United States of America";"Always"
0;"100-500";1;NA;"Yes";"I am not sure";"No";"I don't know";"Yes";"Somewhat easy";"Maybe";"No";"Maybe";"Maybe";"I don't know";"No";NA;"";"";"";1;"Some did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"No, at none of my previous employers";"Some did";"Some of them";"Yes";"Maybe";"Yes, I think it would";"No, I don't think they would";"Maybe/Not sure";"I don't know";"No";"No";34;"Male";"United States of America";"United States of America";"Never"
0;"6-25";1;NA;"Yes";"Yes";"No";"No";"Yes";"Very easy";"Maybe";"No";"No";"Yes";"Yes";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"Some of them";"No";"No";"Yes, I think it would";"No, I don't think they would";"Yes, I experienced";"No";"Maybe";"Maybe";32;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"No";"No";"No";"No";"I don't know";"Somewhat easy";"Maybe";"Maybe";"Yes";"Yes";"I don't know";"No";NA;"";"";"";1;"No, none did";"I was aware of some";"None did";"None did";"I don't know";"Yes, all of them";"Yes, all of them";"Some of my previous employers";"No, at none of my previous employers";"None did";"Yes, all of them";"Maybe";"Maybe";"Yes, it has";"Maybe";"Yes, I observed";"Yes";"Yes";"Yes";37;"Male";"United Kingdom";"United Kingdom";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";0;"Yes, I know several";"No, because it would impact me negatively";"Yes";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"Some of them";"None of them";"Some of my previous employers";"No, at none of my previous employers";"Some did";"Some of them";"Yes";"Maybe";"Yes, I think it would";"Yes, I think they would";"N/A";"Yes";"Yes";"No";31;"Female";"United States of America";"United States of America";"Always"
0;"26-100";1;NA;"I don't know";"No";"Yes";"No";"I don't know";"Very easy";"Yes";"Maybe";"Maybe";"Maybe";"Yes";"No";NA;"";"";"";1;"No, none did";"No, I only became aware later";"None did";"None did";"No";"None of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"None did";"Some of them";"Maybe";"No";"Yes, I think it would";"Yes, I think they would";"No";"Yes";"Yes";"Yes";31;"Male";"United States of America";"United States of America";"Always"
0;"26-100";0;1;"No";"I am not sure";"No";"No";"I don't know";"Very easy";"Maybe";"No";"Maybe";"Maybe";"I don't know";"No";NA;"";"";"";1;"No, none did";"N/A (not currently aware)";"None did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"None did";"None of them";"Maybe";"No";"Yes, it has";"Maybe";"No";"I don't know";"No";"No";26;"Male";"Colombia";"Colombia";"Always"
1;"";NA;NA;"";"";"";"";"";"";"";"";"";"";"";"";0;"I know some";"Sometimes, if it comes up";"Yes";1;"Some did";"No, I only became aware later";"None did";"Some did";"I don't know";"I don't know";"None of them";"Some of my previous employers";"Some of my previous employers";"I don't know";"None of them";"Maybe";"Maybe";"Maybe";"Maybe";"No";"I don't know";"No";"Maybe";30;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"Yes";"No";"I don't know";"I don't know";"I don't know";"Maybe";"No";"Maybe";"Yes";"No";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Yes, at all of my previous employers";"Some did";"None of them";"No";"No";"Yes, I think it would";"Maybe";"Maybe/Not sure";"Yes";"Yes";"Yes";36;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"Yes";"No";"No";"No";"I don't know";"I don't know";"Maybe";"No";"No";"No";"I don't know";"No";NA;"";"";"";1;"Some did";"I was aware of some";"None did";"None did";"I don't know";"Some of them";"None of them";"Some of my previous employers";"Some of my previous employers";"None did";"Some of them";"No";"No";"Yes, I think it would";"Maybe";"Yes, I observed";"Yes";"Yes";"No";38;"Male";"United States of America";"United States of America";"Always"
0;"26-100";1;NA;"Yes";"Yes";"No";"No";"I don't know";"Somewhat easy";"No";"No";"Yes";"Maybe";"I don't know";"No";NA;"";"";"";0;"";"";"";"";"";"";"";"";"";"";"";"No";"No";"Maybe";"No, I don't think they would";"No";"No";"No";"Yes";24;"Male";"United States of America";"United States of America";"Sometimes"
0;"100-500";1;NA;"I don't know";"No";"No";"I don't know";"I don't know";"Somewhat difficult";"Maybe";"Maybe";"No";"Maybe";"I don't know";"No";NA;"";"";"";1;"I don't know";"N/A (not currently aware)";"Some did";"Some did";"I don't know";"Some of them";"Some of them";"No, at none of my previous employers";"No, at none of my previous employers";"I don't know";"None of them";"Maybe";"No";"Maybe";"Maybe";"No";"I don't know";"Yes";"Yes";26;"Male";"United States of America";"United States of America";"Sometimes"
0;"More than 1000";1;NA;"Yes";"I am not sure";"Yes";"I don't know";"I don't know";"I don't know";"Maybe";"No";"Maybe";"Yes";"I don't know";"No";NA;"";"";"";1;"Yes, they all did";"I was aware of some";"Some did";"None did";"I don't know";"Some of them";"Some of them";"Some of my previous employers";"Some of my previous employers";"Some did";"None of them";"Maybe";"No";"Yes, I think it would";"Yes, I think they would";"Yes, I observed";"Yes";"Yes";"Maybe";37;"Male";"United States of America";"United States of America";"Never"
